"Time","Display","Temperature","Temp_Reading","Temp_Alarm","Humidity","Hum_Reading","Hum_Alarm","Pressure","PSI_Reading","PSI_Alarm","Pitch","Roll","Yaw"
"Mon Feb 29 10:22:40 2016","1.00","19.22","0.00","1.00","42.60","-1.00","1.00","1005.38","0.00","1.00","1.27","50.67","273.84"
"Mon Feb 29 10:23:14 2016","1.00","19.09","0.00","1.00","42.56","-1.00","1.00","1005.36","0.00","1.00","2.13","50.06","275.62"
"Mon Feb 29 10:23:48 2016","1.00","19.12","0.00","1.00","42.87","-1.00","1.00","1005.40","0.00","1.00","0.61","50.47","278.29"
"Mon Feb 29 10:24:22 2016","1.00","19.01","0.00","1.00","42.86","-1.00","1.00","1005.42","0.00","1.00","0.99","50.50","280.58"
"Mon Feb 29 10:24:56 2016","1.00","19.23","0.00","1.00","42.68","-1.00","1.00","1005.38","0.00","1.00","1.33","50.50","283.40"
"Mon Feb 29 10:25:31 2016","1.00","19.15","0.00","1.00","43.39","-1.00","1.00","1005.39","0.00","1.00","2.22","51.04","286.52"
"Mon Feb 29 10:26:05 2016","1.00","19.26","0.00","1.00","43.00","-1.00","1.00","1005.35","0.00","1.00","2.18","50.81","287.68"
"Mon Feb 29 10:26:39 2016","1.00","19.11","0.00","1.00","42.40","-1.00","1.00","1005.33","0.00","1.00","2.82","50.03","290.35"
"Mon Feb 29 10:27:13 2016","1.00","19.09","0.00","1.00","42.74","-1.00","1.00","1005.34","0.00","1.00","2.11","50.79","292.85"
"Mon Feb 29 10:27:47 2016","1.00","19.22","0.00","1.00","42.47","-1.00","1.00","1005.33","0.00","1.00","2.41","51.34","296.21"
"Mon Feb 29 10:28:21 2016","1.00","19.17","0.00","1.00","42.26","-1.00","1.00","1005.35","0.00","1.00","2.25","51.15","298.57"
"Mon Feb 29 10:28:55 2016","1.00","19.20","0.00","1.00","42.39","-1.00","1.00","1005.29","0.00","1.00","2.42","50.81","300.85"
"Mon Feb 29 10:29:29 2016","1.00","19.14","0.00","1.00","42.29","-1.00","1.00","1005.31","0.00","1.00","2.30","50.85","302.33"
"Mon Feb 29 10:30:03 2016","1.00","19.07","0.00","1.00","40.88","-1.00","1.00","1005.28","0.00","1.00","1.80","50.33","304.89"
"Mon Feb 29 10:30:38 2016","1.00","19.20","0.00","1.00","42.23","-1.00","1.00","1005.36","0.00","1.00","2.32","50.52","306.26"
"Mon Feb 29 10:31:12 2016","1.00","19.13","0.00","1.00","42.49","-1.00","1.00","1005.27","0.00","1.00","1.57","50.87","308.58"
"Mon Feb 29 10:31:46 2016","1.00","19.23","0.00","1.00","42.41","-1.00","1.00","1005.31","0.00","1.00","2.44","50.73","310.03"
"Mon Feb 29 10:32:20 2016","1.00","19.19","0.00","1.00","42.55","-1.00","1.00","1005.29","0.00","1.00","2.69","50.55","311.34"
"Mon Feb 29 10:32:54 2016","1.00","19.21","0.00","1.00","42.59","-1.00","1.00","1005.29","0.00","1.00","3.29","50.65","312.97"
"Mon Feb 29 10:33:28 2016","1.00","19.18","0.00","1.00","42.68","-1.00","1.00","1005.27","0.00","1.00","1.66","50.06","315.51"
"Mon Feb 29 10:34:02 2016","1.00","19.16","0.00","1.00","42.29","-1.00","1.00","1005.26","0.00","1.00","2.09","50.39","316.81"
"Mon Feb 29 10:34:36 2016","1.00","19.20","0.00","1.00","42.40","-1.00","1.00","1005.23","0.00","1.00","1.86","50.34","319.06"
"Mon Feb 29 10:35:10 2016","1.00","19.15","0.00","1.00","42.45","-1.00","1.00","1005.22","0.00","1.00","0.44","50.39","321.09"
"Mon Feb 29 10:35:45 2016","1.00","19.26","0.00","1.00","42.69","-1.00","1.00","1005.26","0.00","1.00","4.40","50.81","321.00"
"Mon Feb 29 10:36:19 2016","1.00","19.11","0.00","1.00","40.73","-1.00","1.00","1005.24","0.00","1.00","2.13","51.27","322.12"
"Mon Feb 29 10:36:53 2016","1.00","19.16","0.00","1.00","42.33","-1.00","1.00","1005.26","0.00","1.00","3.81","51.55","322.91"
"Mon Feb 29 10:37:27 2016","1.00","19.09","0.00","1.00","43.02","-1.00","1.00","1005.24","0.00","1.00","0.69","50.27","325.01"
"Mon Feb 29 10:38:01 2016","1.00","19.28","0.00","1.00","42.18","-1.00","1.00","1005.21","0.00","1.00","1.28","50.36","326.47"
"Mon Feb 29 10:38:35 2016","1.00","19.31","0.00","1.00","41.89","-1.00","1.00","1005.27","0.00","1.00","359.07","49.73","327.44"
"Mon Feb 29 10:39:09 2016","1.00","19.13","0.00","1.00","42.66","-1.00","1.00","1005.22","0.00","1.00","2.39","50.65","328.67"
"Mon Feb 29 10:39:44 2016","1.00","19.24","0.00","1.00","42.00","-1.00","1.00","1005.21","0.00","1.00","3.58","51.00","328.94"
"Mon Feb 29 10:40:18 2016","1.00","19.28","0.00","1.00","42.20","-1.00","1.00","1005.18","0.00","1.00","2.69","50.29","331.27"
"Mon Feb 29 10:40:52 2016","1.00","19.20","0.00","1.00","41.88","-1.00","1.00","1005.20","0.00","1.00","2.17","50.62","331.69"
"Mon Feb 29 10:41:26 2016","1.00","19.19","0.00","1.00","41.95","-1.00","1.00","1005.24","0.00","1.00","1.50","50.06","332.16"
"Mon Feb 29 10:42:00 2016","1.00","19.19","0.00","1.00","42.43","-1.00","1.00","1005.20","0.00","1.00","2.40","50.51","333.54"
"Mon Feb 29 10:42:34 2016","1.00","19.07","0.00","1.00","42.11","-1.00","1.00","1005.23","0.00","1.00","0.38","49.78","335.33"
"Mon Feb 29 10:43:08 2016","1.00","19.16","0.00","1.00","42.06","-1.00","1.00","1005.19","0.00","1.00","0.71","50.10","335.42"
"Mon Feb 29 10:43:42 2016","1.00","19.23","0.00","1.00","41.94","-1.00","1.00","1005.24","0.00","1.00","1.80","50.98","335.45"
"Mon Feb 29 10:44:16 2016","1.00","19.20","0.00","1.00","41.90","-1.00","1.00","1005.20","0.00","1.00","1.18","51.55","337.08"
"Mon Feb 29 10:44:51 2016","1.00","19.28","0.00","1.00","42.29","-1.00","1.00","1005.22","0.00","1.00","3.15","52.07","337.73"
"Mon Feb 29 10:45:25 2016","1.00","19.18","0.00","1.00","41.76","-1.00","1.00","1005.22","0.00","1.00","0.84","50.90","341.56"
"Mon Feb 29 10:45:59 2016","1.00","19.28","0.00","1.00","42.17","-1.00","1.00","1005.24","0.00","1.00","0.12","51.18","342.35"
"Mon Feb 29 10:46:33 2016","1.00","19.25","0.00","1.00","42.09","-1.00","1.00","1005.25","0.00","1.00","359.99","50.39","343.91"
"Mon Feb 29 10:47:07 2016","1.00","19.26","0.00","1.00","41.35","-1.00","1.00","1005.18","0.00","1.00","0.91","50.47","346.77"
"Mon Feb 29 10:47:41 2016","1.00","19.04","0.00","1.00","42.14","-1.00","1.00","1005.16","0.00","1.00","1.48","51.26","347.59"
"Mon Feb 29 10:48:15 2016","1.00","19.21","0.00","1.00","41.98","-1.00","1.00","1005.19","0.00","1.00","2.17","52.41","349.16"
"Mon Feb 29 10:48:49 2016","1.00","19.25","0.00","1.00","40.29","-1.00","1.00","1005.17","0.00","1.00","1.30","50.52","351.97"
"Mon Feb 29 10:49:24 2016","1.00","19.03","0.00","1.00","42.00","-1.00","1.00","1005.15","0.00","1.00","359.67","54.28","351.11"
"Mon Feb 29 10:49:58 2016","1.00","19.15","0.00","1.00","42.12","-1.00","1.00","1005.15","0.00","1.00","359.66","48.76","2.00"
"Mon Feb 29 10:50:32 2016","1.00","19.29","0.00","1.00","42.06","-1.00","1.00","1005.18","0.00","1.00","359.64","49.90","8.60"
"Mon Feb 29 10:51:06 2016","1.00","19.10","0.00","1.00","41.92","-1.00","1.00","1005.19","0.00","1.00","1.98","48.54","23.23"
"Mon Feb 29 10:51:40 2016","1.00","19.16","0.00","1.00","41.82","-1.00","1.00","1005.21","0.00","1.00","2.70","46.03","48.39"
"Mon Feb 29 10:52:14 2016","1.00","19.24","0.00","1.00","42.71","-1.00","1.00","1005.24","0.00","1.00","2.79","47.05","79.14"
"Mon Feb 29 10:52:48 2016","1.00","19.18","0.00","1.00","41.76","-1.00","1.00","1005.21","0.00","1.00","3.41","47.41","119.00"
"Mon Feb 29 10:53:22 2016","1.00","19.17","0.00","1.00","41.78","-1.00","1.00","1005.24","0.00","1.00","2.45","49.17","134.60"
"Mon Feb 29 10:53:57 2016","1.00","19.08","0.00","1.00","42.07","-1.00","1.00","1005.25","0.00","1.00","1.15","47.67","139.21"
"Mon Feb 29 10:54:31 2016","1.00","19.20","0.00","1.00","41.91","-1.00","1.00","1005.21","0.00","1.00","7.40","48.78","147.73"
"Mon Feb 29 10:55:05 2016","1.00","19.08","0.00","1.00","41.87","-1.00","1.00","1005.25","0.00","1.00","4.37","49.47","149.32"
"Mon Feb 29 10:55:39 2016","1.00","19.22","0.00","1.00","42.01","-1.00","1.00","1005.25","0.00","1.00","2.09","50.22","152.19"
"Mon Feb 29 10:56:13 2016","1.00","19.16","0.00","1.00","41.27","-1.00","1.00","1005.30","0.00","1.00","1.17","46.22","148.97"
"Mon Feb 29 10:56:47 2016","1.00","19.20","0.00","1.00","41.80","-1.00","1.00","1005.18","0.00","1.00","2.41","50.23","156.75"
"Mon Feb 29 10:57:21 2016","1.00","19.03","0.00","1.00","41.99","-1.00","1.00","1005.20","0.00","1.00","3.47","49.07","156.96"
"Mon Feb 29 10:57:55 2016","1.00","19.18","0.00","1.00","41.79","-1.00","1.00","1005.19","0.00","1.00","1.61","49.05","158.17"
"Mon Feb 29 10:58:29 2016","1.00","19.01","0.00","1.00","41.92","-1.00","1.00","1005.17","0.00","1.00","2.98","49.62","160.38"
"Mon Feb 29 10:59:03 2016","1.00","19.08","0.00","1.00","41.08","-1.00","1.00","1005.22","0.00","1.00","3.91","49.01","160.82"
"Mon Feb 29 10:59:37 2016","1.00","19.26","0.00","1.00","41.69","-1.00","1.00","1005.27","0.00","1.00","1.55","48.64","161.47"
"Mon Feb 29 11:00:12 2016","1.00","19.22","0.00","1.00","41.89","-1.00","1.00","1005.19","0.00","1.00","0.19","46.30","158.37"
"Mon Feb 29 11:00:46 2016","1.00","19.20","0.00","1.00","42.00","-1.00","1.00","1005.18","0.00","1.00","2.26","50.24","164.40"
"Mon Feb 29 11:01:20 2016","1.00","19.07","0.00","1.00","41.95","-1.00","1.00","1005.20","0.00","1.00","4.31","50.34","166.06"
"Mon Feb 29 11:01:54 2016","1.00","19.00","0.00","1.00","41.91","-1.00","1.00","1005.18","0.00","1.00","2.12","50.38","166.83"
"Mon Feb 29 11:02:28 2016","1.00","19.16","0.00","1.00","42.11","-1.00","1.00","1005.24","0.00","1.00","2.44","49.61","166.79"
"Mon Feb 29 11:03:02 2016","1.00","19.14","0.00","1.00","41.64","-1.00","1.00","1005.18","0.00","1.00","5.18","50.44","168.56"
"Mon Feb 29 11:03:36 2016","1.00","19.21","0.00","1.00","42.04","-1.00","1.00","1005.24","0.00","1.00","1.63","48.91","167.11"
"Mon Feb 29 11:04:11 2016","1.00","19.18","0.00","1.00","41.88","-1.00","1.00","1005.25","0.00","1.00","1.80","48.64","167.68"
"Mon Feb 29 11:04:45 2016","1.00","19.11","0.00","1.00","41.98","-1.00","1.00","1005.23","0.00","1.00","2.66","49.93","169.18"
"Mon Feb 29 11:05:19 2016","1.00","19.21","0.00","1.00","41.71","-1.00","1.00","1005.27","0.00","1.00","0.45","48.97","168.42"
"Mon Feb 29 11:05:53 2016","1.00","19.22","0.00","1.00","42.04","-1.00","1.00","1005.27","0.00","1.00","2.22","50.50","170.72"
"Mon Feb 29 11:06:27 2016","1.00","19.19","0.00","1.00","41.75","-1.00","1.00","1005.24","0.00","1.00","2.43","50.35","171.52"
"Mon Feb 29 11:07:01 2016","1.00","19.16","0.00","1.00","41.30","-1.00","1.00","1005.25","0.00","1.00","2.91","50.18","171.28"
"Mon Feb 29 11:07:35 2016","1.00","19.18","0.00","1.00","41.64","-1.00","1.00","1005.31","0.00","1.00","2.28","50.48","172.23"
"Mon Feb 29 11:08:10 2016","1.00","19.26","0.00","1.00","41.72","-1.00","1.00","1005.23","0.00","1.00","2.32","49.60","171.80"
"Mon Feb 29 11:08:44 2016","1.00","19.23","0.00","1.00","40.19","-1.00","1.00","1005.24","0.00","1.00","1.98","50.64","173.15"
"Mon Feb 29 11:09:18 2016","1.00","19.24","0.00","1.00","41.90","-1.00","1.00","1005.29","0.00","1.00","1.86","50.55","172.96"
"Mon Feb 29 11:09:52 2016","1.00","19.23","0.00","1.00","41.94","-1.00","1.00","1005.25","0.00","1.00","1.92","50.18","173.54"
"Mon Feb 29 11:10:26 2016","1.00","19.22","0.00","1.00","41.81","-1.00","1.00","1005.22","0.00","1.00","0.27","50.55","174.10"
"Mon Feb 29 11:11:00 2016","1.00","19.18","0.00","1.00","41.84","-1.00","1.00","1005.30","0.00","1.00","0.44","49.86","174.14"
"Mon Feb 29 11:11:34 2016","1.00","19.19","0.00","1.00","41.74","-1.00","1.00","1005.24","0.00","1.00","2.75","50.45","174.72"
"Mon Feb 29 11:12:08 2016","1.00","19.04","0.00","1.00","42.36","-1.00","1.00","1005.31","0.00","1.00","3.64","50.60","175.48"
"Mon Feb 29 11:12:43 2016","1.00","19.12","0.00","1.00","42.00","-1.00","1.00","1005.24","0.00","1.00","3.17","50.19","175.75"
"Mon Feb 29 11:13:17 2016","1.00","19.17","0.00","1.00","41.47","-1.00","1.00","1005.25","0.00","1.00","1.83","50.57","176.34"
"Mon Feb 29 11:13:51 2016","1.00","18.98","0.00","1.00","42.10","-1.00","1.00","1005.24","0.00","1.00","0.90","50.08","176.46"
"Mon Feb 29 11:14:25 2016","1.00","19.18","0.00","1.00","41.21","-1.00","1.00","1005.28","0.00","1.00","1.84","50.06","177.06"
"Mon Feb 29 11:14:59 2016","1.00","19.09","0.00","1.00","41.76","-1.00","1.00","1005.21","0.00","1.00","0.26","49.84","177.49"
"Mon Feb 29 11:15:33 2016","1.00","19.23","0.00","1.00","41.57","-1.00","1.00","1005.28","0.00","1.00","1.81","50.18","178.54"
"Mon Feb 29 11:16:07 2016","1.00","19.28","0.00","1.00","41.57","-1.00","1.00","1005.23","0.00","1.00","0.19","50.46","178.81"
"Mon Feb 29 11:16:41 2016","1.00","19.28","0.00","1.00","42.02","-1.00","1.00","1005.29","0.00","1.00","3.65","50.13","179.08"
"Mon Feb 29 11:17:15 2016","1.00","19.18","0.00","1.00","41.68","-1.00","1.00","1005.24","0.00","1.00","2.58","50.62","180.09"
"Mon Feb 29 11:17:50 2016","1.00","19.23","0.00","1.00","44.29","-1.00","1.00","1005.26","0.00","1.00","2.22","50.20","180.82"
"Mon Feb 29 11:18:24 2016","1.00","19.24","0.00","1.00","40.99","-1.00","1.00","1005.32","0.00","1.00","0.50","50.23","181.41"
"Mon Feb 29 11:18:58 2016","1.00","19.25","0.00","1.00","40.53","-1.00","1.00","1005.32","0.00","1.00","2.27","50.66","181.41"
"Mon Feb 29 11:19:32 2016","1.00","19.12","0.00","1.00","41.88","-1.00","1.00","1005.26","0.00","1.00","3.55","50.55","181.79"
"Mon Feb 29 11:20:06 2016","1.00","19.05","0.00","1.00","41.80","-1.00","1.00","1005.27","0.00","1.00","0.74","50.00","182.79"
"Mon Feb 29 11:20:40 2016","1.00","19.12","0.00","1.00","41.78","-1.00","1.00","1005.28","0.00","1.00","1.46","50.07","183.09"
"Mon Feb 29 11:21:14 2016","1.00","19.16","0.00","1.00","41.93","-1.00","1.00","1005.28","0.00","1.00","2.25","50.42","183.88"
"Mon Feb 29 11:21:48 2016","1.00","19.19","0.00","1.00","41.64","-1.00","1.00","1005.30","0.00","1.00","1.74","50.81","184.02"
"Mon Feb 29 11:22:22 2016","1.00","19.18","0.00","1.00","41.76","-1.00","1.00","1005.29","0.00","1.00","0.51","50.42","184.45"
"Mon Feb 29 11:22:57 2016","1.00","19.18","0.00","1.00","41.84","-1.00","1.00","1005.25","0.00","1.00","3.43","50.44","184.91"
"Mon Feb 29 11:23:31 2016","1.00","19.13","0.00","1.00","41.78","-1.00","1.00","1005.26","0.00","1.00","1.54","50.14","185.32"
"Mon Feb 29 11:24:05 2016","1.00","19.21","0.00","1.00","42.41","-1.00","1.00","1005.30","0.00","1.00","0.13","50.10","186.03"
"Mon Feb 29 11:24:39 2016","1.00","19.13","0.00","1.00","41.85","-1.00","1.00","1005.26","0.00","1.00","359.72","49.94","186.44"
"Mon Feb 29 11:25:13 2016","1.00","19.24","0.00","1.00","40.81","-1.00","1.00","1005.29","0.00","1.00","359.29","50.70","187.12"
"Mon Feb 29 11:25:47 2016","1.00","18.99","0.00","1.00","41.70","-1.00","1.00","1005.28","0.00","1.00","2.04","49.82","187.87"
"Mon Feb 29 11:26:21 2016","1.00","19.16","0.00","1.00","41.56","-1.00","1.00","1005.26","0.00","1.00","1.96","50.67","187.93"
"Mon Feb 29 11:26:55 2016","1.00","19.05","0.00","1.00","41.31","-1.00","1.00","1005.25","0.00","1.00","0.45","50.66","188.89"
"Mon Feb 29 11:27:29 2016","1.00","19.24","0.00","1.00","41.79","-1.00","1.00","1005.26","0.00","1.00","4.04","49.94","190.08"
"Mon Feb 29 11:28:04 2016","1.00","19.20","0.00","1.00","41.28","-1.00","1.00","1005.27","0.00","1.00","1.92","49.74","190.33"
"Mon Feb 29 11:28:38 2016","1.00","18.94","0.00","1.00","41.78","-1.00","1.00","1005.22","0.00","1.00","1.30","50.49","190.62"
"Mon Feb 29 11:29:12 2016","1.00","19.14","0.00","1.00","41.66","-1.00","1.00","1005.23","0.00","1.00","0.94","50.28","191.16"
"Mon Feb 29 11:29:46 2016","1.00","19.06","0.00","1.00","42.15","-1.00","1.00","1005.29","0.00","1.00","2.02","50.46","191.99"
"Mon Feb 29 11:30:20 2016","1.00","19.14","0.00","1.00","41.80","-1.00","1.00","1005.22","0.00","1.00","359.87","50.42","192.56"
"Mon Feb 29 11:30:54 2016","1.00","19.18","0.00","1.00","42.07","-1.00","1.00","1005.18","0.00","1.00","0.10","50.41","193.30"
